Stock,Exchange,Sector,
1957 & Co. Hospitality Ltd. (8495),XHKG,Restaurants,
360 Ludashi Holdings Ltd. (3601),XHKG,Software,
361 Degrees International Ltd. (1361),XHKG,Clothing,
3SBio Inc. (1530),XHKG,Biotechnology,
51 Credit Card Inc. (2051),XHKG,Consumer Finance,
7Road Holdings Ltd. (797),XHKG,Toys & Games,
A&S Group (Holdings) Ltd. (1737),XHKG,Transportation Services,
A.Plus Group Holdings Ltd. (1841),XHKG,Printing,
A8 New Media Group Ltd. (800),XHKG,Toys & Games,
AAC Technologies Holdings Inc. (2018),XHKG,Industrial Electronics,
AAG Energy Holdings Ltd. (2686),XHKG,Coal,
AB Builders Group Ltd. (1615),XHKG,Construction,
Abbisko Cayman Ltd. (2256),XHKG,Biotechnology,
Able Engineering Holdings Ltd. (1627),XHKG,Construction,
Accel Group Holdings Ltd. (1283),XHKG,Technical Services,
Aceso Life Science Group Ltd. (474),XHKG,Biotechnology,
Acme International Holdings Ltd. (1870),XHKG,Construction,
Acotec Scientific Holdings Ltd. (6669),XHKG,Medical Equipment/Supplies,
Activation Group Holdings Ltd. (9919),XHKG,Advertising/Marketing/Public Relations,
Add New Energy Investment Holdings Group Ltd. (2623),XHKG,Iron/Steel,
AdTiger Corporations Ltd. (1163),XHKG,Advertising/Marketing/Public Relations,
Aeon Credit Service (Asia) Co. Ltd. (900),XHKG,Consumer Finance,
AEON Stores (Hong Kong) Co. Ltd. (984),XHKG,Mixed Retailing,
Aeso Holding Ltd. (8341),XHKG,Construction,
Affluent Foundation Holdings Ltd. (1757),XHKG,Construction,
Affluent Partners Holdings Ltd. (1466),XHKG,Jewelry & Watches,
Agile Group Holdings Ltd. (3383),XHKG,Real Estate Developers,
Agricultural Bank of China Ltd. (1288),XHKG,Banking,
AGTech Holdings Ltd. (8279),XHKG,Gambling Industries,
Ahsay Backup Software Development Co. Ltd. (8290),XHKG,Software,
AIA Group Ltd. (1299),XHKG,Life Insurance,
Aidigong Maternal & Child Health Ltd. (286),XHKG,Healthcare Provision,
Air China Ltd. (753),XHKG,Passenger Airlines,
Ajisen (China) Holdings Ltd. (538),XHKG,Restaurants,
AK Medical Holdings Ltd. (1789),XHKG,Medical Equipment/Supplies,
Akeso Inc. (9926),XHKG,Biotechnology,
AKM Industrial Co. Ltd. (1639),XHKG,Semiconductors,
AL Group Ltd. (8360),XHKG,General Services,
Alco Holdings Ltd. (328),XHKG,Audio/Video Equipment,
Alibaba Group Holding Ltd. (9988),XHKG,Mixed Retailing,
Alibaba Health Information Technology Ltd. (241),XHKG,Drug Retail,
Alibaba Pictures Group Ltd. (1060),XHKG,Motion Picture/Sound Recording,
A-Living Smart City Services Co. Ltd. (3319),XHKG,Real Estate Developers,
Allan International Holdings Ltd. (684),XHKG,Housewares,
Allied Group Ltd. (373),XHKG,Diversified Holding Companies,
Allied Sustainability & Environmental Consultants Group Ltd. (8320),XHKG,Environment/Waste Management,
Alltronics Holdings Ltd. (833),XHKG,Housewares,
Alpha Era International Holdings Ltd. (8406),XHKG,Sports Goods,
Alpha Professional Holdings Ltd. (948),XHKG,Networking,
Alphamab Oncology (9966),XHKG,Biotechnology,
Altus Holdings Ltd. (8149),XHKG,Finance Companies,
Aluminum Corp. of China Ltd. (2600),XHKG,Aluminum,
AM Group Holdings Ltd. (1849),XHKG,Advertising/Marketing/Public Relations,
Amasse Capital Holdings Ltd. (8168),XHKG,Investment Advisors,
Amber Hill Financial Holdings Ltd. (33),XHKG,General Services,
AMCO United Holding Ltd. (630),XHKG,Construction,
AMS Public Transport Holdings Ltd. (77),XHKG,"Passenger Transport, Other",
Amuse Group Holding Ltd. (8545),XHKG,Toys & Games,
Analogue Holdings Ltd. (1977),XHKG,Technical Services,
Anchorstone Holdings Ltd. (1592),XHKG,Construction,
ANE (Cayman) Inc. (9956),XHKG,Trucking,
Angang Steel Co. Ltd. (347),XHKG,Iron/Steel,
Angelalign Technology Inc. (6699),XHKG,Medical Equipment/Supplies,
Anhui Conch Cement Co. Ltd. (914),XHKG,Building Materials/Products,
Anhui Expressway Co. Ltd. (995),XHKG,Transportation Services,
Anta Sports Products Ltd. (2020),XHKG,Clothing,
Antengene Corp. Ltd. (6996),XHKG,Pharmaceuticals,
Anton Oilfield Services Group (3337),XHKG,Oil & Gas Products/Services,
Anxian Yuan China Holdings Ltd. (922),XHKG,Consumer Services,
Aoyuan Healthy Life Group Co. Ltd. (3662),XHKG,Real Estate Developers,
AP Rentals Holdings Ltd. (1496),XHKG,General Services,
APAC Resources Ltd. (1104),XHKG,Iron/Steel,
Apex Ace Holding Ltd. (6036),XHKG,Wholesalers,
Apollo Future Mobility Group Ltd. (860),XHKG,Clothing Retail,
Applied Development Holdings Ltd. (519),XHKG,Real Estate Developers,
APT Satellite Holdings Ltd. (1045),XHKG,Wireless Telecommunications Services,
Archosaur Games Inc. (9990),XHKG,Toys & Games,
Art Group Holdings Ltd. (565),XHKG,Real Estate Developers,
ARTA TechFin Corp. Ltd. (279),XHKG,Securities,
ArtGo Holdings Ltd. (3313),XHKG,General Mining,
Artini Holdings Ltd. (789),XHKG,Clothing Retail,
Arts Optical International Holdings Ltd. (1120),XHKG,Medical Equipment/Supplies,
Ascentage Pharma Group International (6855),XHKG,Biotechnology,
Ascletis Pharma Inc. (1672),XHKG,Pharmaceuticals,
Asia Allied Infrastructure Holdings Ltd. (711),XHKG,Construction,
Asia Cassava Resources Holdings Ltd. (841),XHKG,Food Products,
Asia Cement (China) Holdings Corp. (743),XHKG,Building Materials/Products,
Asia Commercial Holdings Ltd. (104),XHKG,Clothing Retail,
Asia Energy Logistics Group Ltd. (351),XHKG,Renewable Energy Generation,
Asia Financial Holdings Ltd. (662),XHKG,Full-Line Insurance,
Asia Grocery Distribution Ltd. (8413),XHKG,Food Retail,
Asia Orient Holdings Ltd. (214),XHKG,Real Estate Developers,
Asia Pioneer Entertainment Holdings Ltd. (8400),XHKG,Wholesalers,
Asia Resources Holdings Ltd. (899),XHKG,Finance Companies,
Asia Standard Hotel Group Ltd. (292),XHKG,Hotels,
Asia Standard International Group Ltd. (129),XHKG,Real Estate Developers,
Asia Tele-Net & Technology Corp. Ltd. (679),XHKG,Industrial Machinery,
Asia Television Holdings Ltd. (707),XHKG,Clothing,
Asia-Express Logistics Holdings Ltd. (8620),XHKG,Transportation Services,
AsiaInfo Technologies Ltd. (1675),XHKG,Software,
Asian Capital Resources (Holdings) Ltd. (8025),XHKG,Investment Advisors,
Asian Citrus Holdings Ltd. (73),XHKG,Farming,
Asia-Pac Financial Investment Co. Ltd. (8193),XHKG,Investment Advisors,
Asiaray Media Group Ltd. (1993),XHKG,Advertising/Marketing/Public Relations,
Asiasec Properties Ltd. (271),XHKG,Real Estate Developers,
ASM Pacific Technology Ltd. (522),XHKG,Semiconductors,
Associated International Hotels Ltd. (105),XHKG,Hotels,
Asymchem Laboratories (TianJin) Co. Ltd. (6821),XHKG,Pharmaceuticals,
Atlinks Group Ltd. (8043),XHKG,Networking,
Aurum Pacific (China) Group Ltd. (8148),XHKG,Software,
Ausnutria Dairy Corp. Ltd. (1717),XHKG,Food Products,
Austar Lifesciences Ltd. (6118),XHKG,Technical Services,
AUSupreme International Holdings Ltd. (2031),XHKG,Drug Retail,
Auto Italia Holdings Ltd. (720),XHKG,Specialty Retail,
Autohome Inc. (2518),XHKG,Publishing,
Automated Systems Holdings Ltd. (771),XHKG,Computer Services,
AUX International Holdings Ltd. (2080),XHKG,Restaurants,
AV Concept Holdings Ltd. (595),XHKG,Semiconductors,
AV Promotions Holdings Ltd. (8419),XHKG,Recreational Services,
AVIC Joy Holdings (HK) Ltd. (260),XHKG,Specialty Retail,
AviChina Industry & Technology Co. Ltd. (2357),XHKG,Aerospace Products/Parts,
B&D Strategic Holdings Ltd. (1780),XHKG,Construction,
B&S International Holdings Ltd. (1705),XHKG,Food Retail,
Babytree Group (1761),XHKG,Internet/Online,
Baguio Green Group Ltd. (1397),XHKG,Environment/Waste Management,
BAIC Motor Corp. Ltd. (1958),XHKG,Automobiles,
Baidu Inc. (9888),XHKG,Internet/Online,
BAIOO Family Interactive Ltd. (2100),XHKG,Toys & Games,
Bairong Inc. (6608),XHKG,Emerging Technologies,
Baiying Holdings Group Ltd. (8525),XHKG,Finance Companies,
Bamboos Health Care Holdings Ltd. (2293),XHKG,Employment/Training Services,
Ban Loong Holdings Ltd. (30),XHKG,Publishing,
Bank of China Ltd. (3988),XHKG,Banking,
Bank of Chongqing Co. Ltd. (1963),XHKG,Banking,
Bank of Communications Co. Ltd. (3328),XHKG,Banking,
Bank of East Asia Ltd. (23),XHKG,Banking,
Bank of Gansu Co. Ltd. (2139),XHKG,Banking,
Bank of Guizhou Co. Ltd. (6199),XHKG,Banking,
Bank of Jinzhou Co. Ltd. (416),XHKG,Banking,
Bank of Jiujiang Co. Ltd. (6190),XHKG,Banking,
Bank of Qingdao Co. Ltd. (3866),XHKG,Banking,
Bank of Tianjin Co. Ltd. (1578),XHKG,Banking,
Bank of Zhengzhou Co. Ltd. (6196),XHKG,Banking,
Bao Shen Holdings Ltd. (8151),XHKG,Industrial Products,
Baoye Group Co. Ltd. (2355),XHKG,Construction,
Baozun Inc. (9991),XHKG,Internet/Online,
